# Common	Scientific	Article	Image source (Wikipedia / Wikimedia Commons)
Chipping Sparrow	Spizella passerina	https://en.wikipedia.org/wiki/Spizella_passerina	https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Spizella-passerina-015_edit.jpg/960px-Spizella-passerina-015_edit.jpg
Field Sparrow	Spizella pusilla	https://en.wikipedia.org/wiki/Spizella_pusilla	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Field_sparrow_in_CP_%2841484%29_%28cropped%29.jpg/960px-Field_sparrow_in_CP_%2841484%29_%28cropped%29.jpg
Barred Owl	Strix varia	https://en.wikipedia.org/wiki/Strix_varia	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Strix-varia-005.jpg/960px-Strix-varia-005.jpg
Eastern Meadowlark	Sturnella magna	https://en.wikipedia.org/wiki/Sturnella_magna	https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Eastern_meadowlark_%28Sturnella_magna_mexicana%29_Orange_Walk.jpg/960px-Eastern_meadowlark_%28Sturnella_magna_mexicana%29_Orange_Walk.jpg
European Starling	Sturnus vulgaris	https://en.wikipedia.org/wiki/Sturnus_vulgaris	https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Common_starling_%28Sturnus_vulgaris%29_breeding_male_Marken.jpg/960px-Common_starling_%28Sturnus_vulgaris%29_breeding_male_Marken.jpg
Carolina Wren	Thryothorus ludovicianus	https://en.wikipedia.org/wiki/Thryothorus_ludovicianus	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Carolina_wren_%2814391%29.jpg/960px-Carolina_wren_%2814391%29.jpg
Brown Thrasher	Toxostoma rufum	https://en.wikipedia.org/wiki/Toxostoma_rufum	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Brown_thrasher_in_CP_%2802147%29.jpg/960px-Brown_thrasher_in_CP_%2802147%29.jpg
House Wren	Troglodytes aedon	https://en.wikipedia.org/wiki/Troglodytes_aedon	https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/House_wren_in_Prospect_Park_%2823218%29.jpg/960px-House_wren_in_Prospect_Park_%2823218%29.jpg
American Robin	Turdus migratorius	https://en.wikipedia.org/wiki/Turdus_migratorius	https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/American_robin_%2871307%29.jpg/960px-American_robin_%2871307%29.jpg
Warbling Vireo	Vireo gilvus	https://en.wikipedia.org/wiki/Vireo_gilvus	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Warbling_vireo_%2882141%29.jpg/960px-Warbling_vireo_%2882141%29.jpg
Red-eyed Vireo	Vireo olivaceus	https://en.wikipedia.org/wiki/Vireo_olivaceus	https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Vireo_olivaceus_-Madison_-Wisconsin_-USA-8.jpg/960px-Vireo_olivaceus_-Madison_-Wisconsin_-USA-8.jpg
Mourning Dove	Zenaida macroura	https://en.wikipedia.org/wiki/Zenaida_macroura	https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Av_Mourning_Dove_JG.jpg/960px-Av_Mourning_Dove_JG.jpg
White-throated Sparrow	Zonotrichia albicollis	https://en.wikipedia.org/wiki/Zonotrichia_albicollis	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Zonotrichia_albicollis_CT1.jpg/960px-Zonotrichia_albicollis_CT1.jpg
